Date,AQI
09-05-2020,144
10-05-2020,121
11-05-2020,116
12-05-2020,125
13-05-2020,150
14-05-2020,149
15-05-2020,123
16-05-2020,179
17-05-2020,200
18-05-2020,206
19-05-2020,212
20-05-2020,166
21-05-2020,147
22-05-2020,199
23-05-2020,181
24-05-2020,172
25-05-2020,153
26-05-2020,154
27-05-2020,156
28-05-2020,188
29-05-2020,101
30-05-2020,78
31-05-2020,72
01-06-2020,104
02-06-2020,124
03-06-2020,122
04-06-2020,153
05-06-2020,111
06-06-2020,102
07-06-2020,107
08-06-2020,108
09-06-2020,139
10-06-2020,152
11-06-2020,141
12-06-2020,153
13-06-2020,123
14-06-2020,154
15-06-2020,115
16-06-2020,118
17-06-2020,109
18-06-2020,95
19-06-2020,148
20-06-2020,149
21-06-2020,98
22-06-2020,92
23-06-2020,76
24-06-2020,66
25-06-2020,85
26-06-2020,105
27-06-2020,108
28-06-2020,209
29-06-2020,230
30-06-2020,102
01-07-2020,117
02-07-2020,127
03-07-2020,156
04-07-2020,105
05-07-2020,90
06-07-2020,90
07-07-2020,65
08-07-2020,51
09-07-2020,78
10-07-2020,67
11-07-2020,68
12-07-2020,71
13-07-2020,72
14-07-2020,127
15-07-2020,124
16-07-2020,72
17-07-2020,79
18-07-2020,92
19-07-2020,65
20-07-2020,60
21-07-2020,61
22-07-2020,59
23-07-2020,65
24-07-2020,100
25-07-2020,67
26-07-2020,78
27-07-2020,100
28-07-2020,72
29-07-2020,90
30-07-2020,55
31-07-2020,75
01-08-2020,81
02-08-2020,61
03-08-2020,67
04-08-2020,62
05-08-2020,86
06-08-2020,69
07-08-2020,54
08-08-2020,87
09-08-2020,74
10-08-2020,72
11-08-2020,75
12-08-2020,63
13-08-2020,50
14-08-2020,58
15-08-2020,67
16-08-2020,52
17-08-2020,66
18-08-2020,72
19-08-2020,57
20-08-2020,50
21-08-2020,57
22-08-2020,53
23-08-2020,53
24-08-2020,45
25-08-2020,61
26-08-2020,57
27-08-2020,64
28-08-2020,79
29-08-2020,77
30-08-2020,70
31-08-2020,41
01-09-2020,53
02-09-2020,69
03-09-2020,84
04-09-2020,82
05-09-2020,101
06-09-2020,70
07-09-2020,93
08-09-2020,79
09-09-2020,105
10-09-2020,108
11-09-2020,136
12-09-2020,144
13-09-2020,142
14-09-2020,152
15-09-2020,144
16-09-2020,151
17-09-2020,120
18-09-2020,108
19-09-2020,118
20-09-2020,148
21-09-2020,142
22-09-2020,115
23-09-2020,76
24-09-2020,104
25-09-2020,143
26-09-2020,165
27-09-2020,117
28-09-2020,159
29-09-2020,177
30-09-2020,156
01-10-2020,152
02-10-2020,180
03-10-2020,189
04-10-2020,184
05-10-2020,179
06-10-2020,178
07-10-2020,215
08-10-2020,208
09-10-2020,202
10-10-2020,221
11-10-2020,216
12-10-2020,261
13-10-2020,300
14-10-2020,276
15-10-2020,312
16-10-2020,237
17-10-2020,287
18-10-2020,254
19-10-2020,244
20-10-2020,223
21-10-2020,256
22-10-2020,296
23-10-2020,366
24-10-2020,345
25-10-2020,349
26-10-2020,353
27-10-2020,312
28-10-2020,297
29-10-2020,395
30-10-2020,374
31-10-2020,367
01-11-2020,364
02-11-2020,293
03-11-2020,302
04-11-2020,343
05-11-2020,450
06-11-2020,406
07-11-2020,427
08-11-2020,416
09-11-2020,477
10-11-2020,476
11-11-2020,344
12-11-2020,314
13-11-2020,339
14-11-2020,414
15-11-2020,435
16-11-2020,221
17-11-2020,171
18-11-2020,211
19-11-2020,283
20-11-2020,296
21-11-2020,251
22-11-2020,274
23-11-2020,295
24-11-2020,379
25-11-2020,413
26-11-2020,302
27-11-2020,137
28-11-2020,231
29-11-2020,256
